a1,a2,b1,b2,b3,b4,b5,b6
0.08298352360725403,0.05819780007004738,-0.39654584533407405,-0.05313313804578229,0.1602090362052475,-0.9528472321885039,-0.22093806775350222,0.45239847082210405
0.008486814796924591,0.022734273225069046,0.050505283070206006,0.22500149209589987,-0.3123186520261518,-0.6265230060134303,0.6916993528366094,0.9318881191895473
0.05147716403007507,0.033981237560510635,-0.4307298871668718,-0.5783198973144361,-0.3434769966172757,-0.9819328660427971,-0.5984202519660071,0.03248899138132666
-0.018747340887784958,-0.02721375599503517,-0.12417858191288463,0.2876728846987233,-0.011143065621789294,-0.8369033698706557,0.5661377404256605,0.33145349115836564
0.12615659832954407,0.11449480801820755,-0.5159509744272934,-0.8194004664692598,-0.8073770756237462,-1.1533732933072094,-0.5164812121857278,-0.06948827282705405
-0.003142407163977623,0.007487776223570108,0.05512895898879136,-0.021734972395253495,-0.06313758298710855,-0.7606426012028726,0.17188055580466044,0.09934166668622235
0.09476418793201447,0.03702731803059578,-0.41435320698706923,-0.6380302214678419,-0.6646219915098999,-0.9694353331791359,-0.4868980610380138,-0.024032907547399063
0.009505095891654491,0.020524732768535614,0.4344308418107606,0.41379881637533705,0.27180379566927704,-0.5787607584269362,0.9684712678349016,0.6874845748982592
0.05217433348298073,0.04862283170223236,-0.5444501697368558,-0.7736048428481299,-0.15763386570820748,-0.5301908959388317,-0.3507725502379322,0.4390840978499424
-0.01400386169552803,-0.0016433300916105509,0.3155339014106319,0.32159038307563753,0.21452301712611344,0.231010842939249,0.7100410541026891,0.6101516602378785
