theta
0.06219474
-0.74452174
-0.44183004
0.1858229
0.5311825
0.4096902
0.019703478
0.4010077
-1.2720106
0.68698776
-0.218451
0.5719333
1.8830388
0.9674147
1.2979022
1.6917765
0.35600513
0.7871836
1.9057235
1.1385167
2.0717075
0.5576575
-2.3105848
-0.90833515
0.5007522
-1.347875
0.40530542
0.8788912
0.26979405
0.5457299
-0.3601601
-0.36405358
1.226392
-1.1858091
0.29604694
0.089419164
1.1128976
0.07434239
1.0421529
-0.12773499
0.31047165
0.7524982
2.5503879
1.0968206
0.99057186
-1.0011795
0.20682362
-0.28643668
-0.9400531
0.7230593
-0.4679138
-1.2504227
0.4707069
0.49852514
-2.0937362
0.2653645
0.6960357
1.0345651
-0.017864054
-0.07873277
0.7444162
0.69553363
0.6473539
-0.6032985
-0.47477457
0.28652313
0.8018355
-0.22217232
-0.34841633
0.71882236
0.727431
-0.067550026
-0.01021561
-0.049285263
-0.4429569
0.9759523
-0.26378503
1.7514799
0.85544944
0.15966329
0.79280394
0.119818784
0.63588303
-0.2073275
-0.57937217
-0.0683291
-1.0586833
-0.1851421
-0.5372493
2.6064687
0.8366321
0.23021187
0.8631079
0.70953816
0.14648739
-0.044823345
0.28301772
-0.86331505
0.8304396
-0.11370649
0.67295617
-0.053727858
0.19853896
-0.53442
0.20098339
0.094317965
-0.02642096
0.17956497
0.56174564
0.39674684
-0.06623405
-0.23404762
-1.4157721
0.44175377
-0.21768412
-0.8535251
-0.35542494
0.22381307
-0.054070055
-0.9499344
-0.77252394
-0.21117692
-2.3491457
0.34055445
0.12934403
0.24756454
-0.7938859
-0.21988583
0.22952315
0.9666773
-1.067009
-2.518121
0.26806763
1.1749471
-0.45413232
0.5849317
-0.68838114
0.13567415
-1.427097
1.0809029
0.39318272
-0.053981382
-1.0078515
-0.69948304
-0.5442926
0.7585142
0.3177627
0.39015737
-0.8545847
-0.07069481
0.33636403
-0.98182994
0.66847676
0.39956385
-0.11171154
-1.9463912
-0.2417734
-0.20115499
-0.3442995
-0.3328669
-0.03375868
0.10003295
1.03857
-0.35212436
0.10504997
-2.4786513
-0.28708968
0.021419981
0.715476
0.34868416
-0.6195083
1.0111216
-0.09030912
-1.2410614
0.5730854
-0.5193744
0.67710453
-0.85040236
-1.0510979
0.14800574
-1.0869628
-0.10050912
0.4881691
0.55032456
1.0620259
0.9190169
0.24082975
1.1148612
0.7175727
0.52441716
0.05234099
-0.0607382
0.7289833
-0.59661317
0.22652398
0.5997766
0.34001526
-0.54555786
-0.17790611
0.81625366
0.5715532
0.4655884
-0.15891886
-0.65028983
-1.8559899
-0.34809288
-0.24285744
