a,b1,b2,b3,b4,b5,b6
0.1828276365995407,-0.38894885930512724,-0.08607196959946928,0.1144857093384426,-0.8971253946730928,-0.23907160911057757,0.3602753862431207
0.07368973642587662,0.028571621833189564,0.18474662056361063,-0.29564637007023475,-0.5758747613599456,0.5975165360996568,0.8294662827083905
0.13678674399852753,-0.36069586986840885,-0.5793518733435981,-0.310043097680222,-0.9255244743281716,-0.563552619164597,-0.0007147800380100655
-0.08575621247291565,-0.09248829561661004,0.2760425589661765,0.00883753669072862,-0.7295697771329712,0.5258737809639145,0.3150514073352979
0.2691411077976227,-0.36932009682427536,-0.7979245804287065,-0.756510617587673,-1.0825260899997815,-0.5242238067127332,-0.12592530474435115
0.03150811418890953,0.04451070327178688,-0.029973216616947934,-0.06112949203832896,-0.6879200267432526,0.14675062868611055,0.0819438097240136
0.10563145577907562,-0.2715225526536764,-0.5994181343759359,-0.6089639672483265,-0.8908891686643425,-0.45752906887186207,-0.04862475483072348
0.024439461529254913,0.38361513594324514,0.3638892171734087,0.24244064072306082,-0.5335040690547711,0.8861234186046832,0.5725255010479202
0.1703256368637085,-0.4797987356049377,-0.7753608836991149,-0.15651619576042486,-0.5191520466667967,-0.3502140059334593,0.3554295287268796
0.09360693395137787,0.26041600030279516,0.2659234098753965,0.17598974626875308,0.17366456907606453,0.6403863422236478,0.5071341983637851
